# time [s], momentum transfer frequency [Hz] at 3000 K, momentum transfer frequency [Hz] at 2000 K
0.000000000000000000e+00,3.786276641191657715e+11,7.261765489091688232e+11
3.999999999999771120e-10,3.915607863156045532e+11,7.225504391679892578e+11
8.000000000000071636e-10,3.991810861158508301e+11,7.278222011588486328e+11
1.199999999999984276e-09,4.084438375395739136e+11,7.371002988471391602e+11
1.600000000000014327e-09,4.168179866760232544e+11,7.536905070488120117e+11
1.999999999999991439e-09,4.247788085848590698e+11,7.699880605536350098e+11
2.399999999999968551e-09,4.352619773898516846e+11,7.898364624671177979e+11
2.799999999999998603e-09,4.483075880437738037e+11,8.130262453372983398e+11
3.199999999999975715e-09,4.645025684155267334e+11,8.406056319572749023e+11
3.600000000000005766e-09,4.836675644162521973e+11,8.722853789039284668e+11
3.999999999999982878e-09,5.086207123996583252e+11,9.130637802220937500e+11
4.400000000000012930e-09,5.384957321042622070e+11,9.610372539091798096e+11
4.799999999999990042e-09,5.642731798173348389e+11,1.002214071795437012e+12
5.200000000000020093e-09,5.793993362415905762e+11,1.026266295370007690e+12
5.599999999999997205e-09,5.898690216821365967e+11,1.042762654928986816e+12
5.999999999999974318e-09,5.976047485051108398e+11,1.054906484667245605e+12
6.400000000000004369e-09,6.004843642262741699e+11,1.059435942076075439e+12
6.799999999999981481e-09,5.978991643076888428e+11,1.055369582513414062e+12
7.200000000000011533e-09,5.903773019716141357e+11,1.043560384714359009e+12
7.599999999999988645e-09,5.863713933141855469e+11,1.037273238193694946e+12
8.000000000000018696e-09,5.871207619774027100e+11,1.038449348531334351e+12
8.399999999999995808e-09,5.845448841537904053e+11,1.034406590026007812e+12
8.799999999999972920e-09,5.803430896683682861e+11,1.027766984831900757e+12
9.200000000000002972e-09,5.784830732966041260e+11,1.024809319313709473e+12
9.599999999999980084e-09,5.766139798789655762e+11,1.021837220123859253e+12
1.000000000000001014e-08,5.736564189888933105e+11,1.017134317506812988e+12
1.039999999999998725e-08,5.697914128555412598e+11,1.010988460114508667e+12
1.080000000000001730e-08,5.665482381001878662e+11,1.005831529560870850e+12
1.119999999999999441e-08,5.656986150584747314e+11,1.004480585941930664e+12
1.159999999999997152e-08,5.639217752806997070e+11,1.001655320804554688e+12
1.200000000000000157e-08,5.619785835538902588e+11,9.985655476524323730e+11
1.239999999999997869e-08,5.604844862666723633e+11,9.961898573790466309e+11
1.280000000000000874e-08,5.565006920241054688e+11,9.898554229923410645e+11
1.319999999999998585e-08,5.504756652461912842e+11,9.802326508744737549e+11
1.360000000000001590e-08,5.446805585432596436e+11,9.709430376905838623e+11
1.399999999999999301e-08,5.416013399525380249e+11,9.660070199289132080e+11
1.439999999999997013e-08,5.403898535754200439e+11,9.640649953212756348e+11
1.480000000000000018e-08,5.377340530667390747e+11,9.598220296265861816e+11
1.519999999999997729e-08,5.347744580995541992e+11,9.551001303834868164e+11
1.560000000000000734e-08,5.329966809179005127e+11,9.522637676982120361e+11
1.599999999999998445e-08,5.285355081713963013e+11,9.451461693617438965e+11
1.640000000000001450e-08,5.183620031630806885e+11,9.287995927358638916e+11
1.679999999999999162e-08,5.044645195787472534e+11,9.063098772377072754e+11
1.719999999999996873e-08,4.901123492825818481e+11,8.828720121776859131e+11
1.759999999999999878e-08,4.788351243922042236e+11,8.643287659797297363e+11
1.799999999999997589e-08,4.657872558287644653e+11,8.427521518850405273e+11
1.840000000000000594e-08,4.499863332280219727e+11,8.159381724678356934e+11
1.879999999999998306e-08,4.344817440307870483e+11,7.884356203628778076e+11
1.920000000000001311e-08,4.217158627278696899e+11,7.638295413743205566e+11
1.959999999999999022e-08,4.081518371900001221e+11,7.365276921336450195e+11
2.000000000000002027e-08,3.553616340819678955e+11,7.464772952742434082e+11
2.039999999999999738e-08,3.448487360322854614e+11,7.672824849666136475e+11
2.079999999999997449e-08,3.744990982835823364e+11,7.287355729309930420e+11
2.120000000000000455e-08,3.867887379533018188e+11,7.211180407450415039e+11
2.159999999999998166e-08,3.927367809171423950e+11,7.233639981885468750e+11
2.200000000000001171e-08,3.981932022446527710e+11,7.271387780941291504e+11
2.239999999999998882e-08,3.971113302387102661e+11,7.263903335618394775e+11
2.280000000000001887e-08,3.964528754520957031e+11,7.259348112060573730e+11
2.319999999999999599e-08,4.004040075543355103e+11,7.286682244028425293e+11
2.359999999999997310e-08,4.049668020670939331e+11,7.318247887526706543e+11
2.400000000000000315e-08,4.036968193308116455e+11,7.309462082645429688e+11
2.439999999999998026e-08,4.001688355261981201e+11,7.285055312028704834e+11
2.480000000000001031e-08,3.979580302165153809e+11,7.269760848941572266e+11
2.519999999999998742e-08,3.909023315289899902e+11,7.220949168122072754e+11
2.560000000000001748e-08,3.636497772673988037e+11,7.354603471520085449e+11
2.599999999999999459e-08,3.383468477873735352e+11,7.880121861286762695e+11
2.639999999999997170e-08,3.379814722126374512e+11,7.900985440536575928e+11
2.680000000000000175e-08,3.536398772408176880e+11,7.498846789961228027e+11
2.719999999999997886e-08,3.837162594231311646e+11,7.230224663200147705e+11
2.760000000000000892e-08,3.994162581439882202e+11,7.279848943588205566e+11
2.799999999999998603e-08,4.043082128196285400e+11,7.313691733761911621e+11
2.840000000000001608e-08,4.011567193973962402e+11,7.291889542675898438e+11
2.879999999999999319e-08,4.011096580995985718e+11,7.291563970234559326e+11
2.919999999999997030e-08,3.986636807617784424e+11,7.274642575147706299e+11
2.960000000000000035e-08,3.869805791764004517e+11,7.209991310999404297e+11
2.999999999999997747e-08,3.516458413686640625e+11,7.538309071795872803e+11
3.040000000000000752e-08,0.000000000000000000e+00,0.000000000000000000e+00
3.079999999999998463e-08,3.483831561960121460e+11,7.602878121740725098e+11
3.120000000000001468e-08,3.786276641191657715e+11,7.261765489091688232e+11
3.159999999999999179e-08,4.017681128862131348e+11,7.296119193792380371e+11
3.199999999999996891e-08,4.126489876091080322e+11,7.453465121293499756e+11
3.239999999999999896e-08,4.180273531914982300e+11,7.561940021317263184e+11
3.279999999999997607e-08,4.192669247019464722e+11,7.587600242115662842e+11
3.320000000000000612e-08,4.179668999898278809e+11,7.560688586858051758e+11
3.359999999999998323e-08,4.150241686496664429e+11,7.500041935724471436e+11
3.400000000000001328e-08,4.094561833293770752e+11,7.390854882363468018e+11
3.439999999999999040e-08,3.992281474136484985e+11,7.278547584029825439e+11
3.480000000000002045e-08,3.751712286918348999e+11,7.283189638882856445e+11
3.519999999999999756e-08,3.400762805697067871e+11,7.781368248822379150e+11
