Electric field / N (Td),Momentum frequency /N (m3/s),Mean energy (eV),Mobility *N (1/m/V/s)
1.00000E+00,2.16880E-13,2.59809E-01,8.10963E+23
2.18787E+00,2.16317E-13,2.64469E-01,8.13074E+23
5.75149E+00,2.11490E-13,3.02852E-01,8.31631E+23
1.16908E+01,2.01116E-13,4.57268E-01,8.74532E+23
2.00059E+01,1.96297E-13,7.57228E-01,8.96001E+23
3.06968E+01,1.99685E-13,1.21727E+00,8.80796E+23
4.37634E+01,2.04543E-13,1.99551E+00,8.59878E+23
5.92057E+01,2.09249E-13,2.81207E+00,8.40538E+23
7.70238E+01,2.14377E-13,3.45689E+00,8.20432E+23
9.72176E+01,2.19780E-13,3.96502E+00,8.00264E+23
1.19787E+02,2.25444E-13,4.39752E+00,7.80160E+23
1.44732E+02,2.31302E-13,4.79581E+00,7.60399E+23
1.72054E+02,2.37388E-13,5.18733E+00,7.40904E+23
2.01750E+02,2.43548E-13,5.58395E+00,7.22164E+23
2.33823E+02,2.49826E-13,5.99743E+00,7.04017E+23
2.68271E+02,2.56101E-13,6.43634E+00,6.86769E+23
3.05095E+02,2.62419E-13,6.90425E+00,6.70233E+23
3.44295E+02,2.68597E-13,7.40614E+00,6.54818E+23
3.85870E+02,2.74883E-13,7.93967E+00,6.39843E+23
4.29822E+02,2.81058E-13,8.50788E+00,6.25785E+23
4.76149E+02,2.87158E-13,9.10985E+00,6.12493E+23
5.24851E+02,2.93261E-13,9.74360E+00,5.99746E+23
5.75930E+02,2.99280E-13,1.04096E+01,5.87684E+23
6.29384E+02,3.05296E-13,1.11058E+01,5.76102E+23
6.85214E+02,3.11160E-13,1.18331E+01,5.65246E+23
7.43420E+02,3.17001E-13,1.25895E+01,5.54830E+23
8.04001E+02,3.22789E-13,1.33748E+01,5.44883E+23
8.66958E+02,3.28511E-13,1.41893E+01,5.35391E+23
9.32291E+02,3.34139E-13,1.50340E+01,5.26373E+23
1.00000E+03,3.39694E-13,1.59093E+01,5.17766E+23
