Electric field / N (Td),Momentum frequency /N (m3/s),Mean energy (eV),Mobility *N (1/m/V/s)
1.00000E+00,1.36106E-13,3.87925E-01,1.01621E+23
2.18787E+00,1.36112E-13,3.88556E-01,1.01683E+23
5.75149E+00,1.34777E-13,3.81273E-01,1.01128E+23
1.16908E+01,1.36389E-13,4.11245E-01,1.04084E+23
2.00059E+01,1.37573E-13,4.60538E-01,1.09829E+23
3.06968E+01,1.40580E-13,5.64262E-01,1.23512E+23
4.37634E+01,1.50957E-13,8.17596E-01,1.59074E+23
5.92057E+01,1.62406E-13,1.58114E+00,2.62660E+23
7.70238E+01,1.67605E-13,2.26087E+00,3.38845E+23
9.72176E+01,1.72221E-13,2.68967E+00,3.77058E+23
1.19787E+02,1.77022E-13,3.08269E+00,4.06044E+23
1.44732E+02,1.82309E-13,3.47798E+00,4.30033E+23
1.72054E+02,1.87853E-13,3.88873E+00,4.50404E+23
2.01750E+02,1.93810E-13,4.32556E+00,4.67805E+23
2.33823E+02,2.00077E-13,4.79411E+00,4.82651E+23
2.68271E+02,2.06574E-13,5.29829E+00,4.95107E+23
3.05095E+02,2.13021E-13,5.84300E+00,5.05704E+23
3.44295E+02,2.19593E-13,6.42815E+00,5.14194E+23
3.85870E+02,2.26212E-13,7.05507E+00,5.20854E+23
4.29822E+02,2.32659E-13,7.72530E+00,5.26117E+23
4.76149E+02,2.39050E-13,8.43675E+00,5.29884E+23
5.24851E+02,2.45314E-13,9.18939E+00,5.32385E+23
5.75930E+02,2.51470E-13,9.98086E+00,5.33741E+23
6.29384E+02,2.57476E-13,1.08109E+01,5.34186E+23
6.85214E+02,2.63416E-13,1.16788E+01,5.33716E+23
7.43420E+02,2.69275E-13,1.25821E+01,5.32494E+23
8.04001E+02,2.74961E-13,1.35227E+01,5.30769E+23
8.66958E+02,2.80643E-13,1.44977E+01,5.28351E+23
9.32291E+02,2.86177E-13,1.55106E+01,5.25596E+23
1.00000E+03,2.91630E-13,1.65582E+01,5.22485E+23
