BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
CO
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
H2O
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
N2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
O2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        3000.00
Excitation temperature (K)                 3000.00
Transition energy (eV)                     0.00000
Ionization degree                         0.100000
Gas particle density (1/m3)               0.250000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           100.000
Precision                                 0.100000E-09
Convergence                               0.100000E-04
Maximum # of iterations                    2000.00
Mole fraction CO2                         0.280000E-01
Mole fraction CO                          0.440000E-01
Mole fraction H2O                         0.940000E-01
Mole fraction N2                          0.660000
Mole fraction O2                          0.430000E-01


E/N (Td)      	Electric field / N (Td)
1.00000	1.00000
2.18787	2.18787
5.75149	5.75149
11.6908	11.6908
20.0059	20.0059
30.6968	30.6968
43.7634	43.7634
59.2057	59.2057
77.0238	77.0238
97.2176	97.2176
119.787	119.787
144.732	144.732
172.054	172.054
201.750	201.750
233.823	233.823
268.271	268.271
305.095	305.095
344.295	344.295
385.870	385.870
429.822	429.822
476.149	476.149
524.851	524.851
575.930	575.930
629.384	629.384
685.214	685.214
743.420	743.420
804.001	804.001
866.958	866.958
932.291	932.291
1000.00	1000.00


E/N (Td)      	Grid type
1.00000	0.00000
2.18787	3.00000
5.75149	3.00000
11.6908	3.00000
20.0059	3.00000
30.6968	3.00000
43.7634	3.00000
59.2057	3.00000
77.0238	3.00000
97.2176	3.00000
119.787	3.00000
144.732	3.00000
172.054	3.00000
201.750	3.00000
233.823	3.00000
268.271	3.00000
305.095	3.00000
344.295	3.00000
385.870	3.00000
429.822	3.00000
476.149	3.00000
524.851	3.00000
575.930	3.00000
629.384	3.00000
685.214	3.00000
743.420	3.00000
804.001	3.00000
866.958	3.00000
932.291	3.00000
1000.00	3.00000


E/N (Td)      	Maximum energy
1.00000	-1.00000
2.18787	6.21116
5.75149	6.21116
11.6908	7.45339
20.0059	7.45339
30.6968	7.45339
43.7634	8.94407
59.2057	8.94407
77.0238	8.94407
97.2176	35.1662
119.787	40.9440
144.732	47.6712
172.054	55.5036
201.750	64.6228
233.823	64.6228
268.271	75.2404
305.095	87.6024
344.295	101.996
385.870	101.996
429.822	118.753
476.149	138.265
524.851	160.982
575.930	160.982
629.384	187.431
685.214	218.226
743.420	218.226
804.001	254.080
866.958	295.826
932.291	344.430
1000.00	344.430


E/N (Td)	Mean energy (eV)
1.00000	0.387925
2.18787	0.388556
5.75149	0.381273
11.6908	0.411245
20.0059	0.460538
30.6968	0.564262
43.7634	0.817596
59.2057	1.58114
77.0238	2.26087
97.2176	2.68967
119.787	3.08269
144.732	3.47798
172.054	3.88873
201.750	4.32556
233.823	4.79411
268.271	5.29829
305.095	5.84300
344.295	6.42815
385.870	7.05507
429.822	7.72530
476.149	8.43675
524.851	9.18939
575.930	9.98086
629.384	10.8109
685.214	11.6788
743.420	12.5821
804.001	13.5227
866.958	14.4977
932.291	15.5106
1000.00	16.5582


E/N (Td)	Mobility *N (1/m/V/s)
1.00000	0.101621E+24
2.18787	0.101683E+24
5.75149	0.101128E+24
11.6908	0.104084E+24
20.0059	0.109829E+24
30.6968	0.123512E+24
43.7634	0.159074E+24
59.2057	0.262660E+24
77.0238	0.338845E+24
97.2176	0.377058E+24
119.787	0.406044E+24
144.732	0.430033E+24
172.054	0.450404E+24
201.750	0.467805E+24
233.823	0.482651E+24
268.271	0.495107E+24
305.095	0.505704E+24
344.295	0.514194E+24
385.870	0.520854E+24
429.822	0.526117E+24
476.149	0.529884E+24
524.851	0.532385E+24
575.930	0.533741E+24
629.384	0.534186E+24
685.214	0.533716E+24
743.420	0.532494E+24
804.001	0.530769E+24
866.958	0.528351E+24
932.291	0.525596E+24
1000.00	0.522485E+24


E/N (Td)	Diffusion coefficient *N (1/m/s)
1.00000	0.263157E+23
2.18787	0.263747E+23
5.75149	0.257593E+23
11.6908	0.285791E+23
20.0059	0.337660E+23
30.6968	0.465427E+23
43.7634	0.868217E+23
59.2057	0.277259E+24
77.0238	0.511154E+24
97.2176	0.676221E+24
119.787	0.834169E+24
144.732	0.996339E+24
172.054	0.116648E+25
201.750	0.134727E+25
233.823	0.154058E+25
268.271	0.174670E+25
305.095	0.196783E+25
344.295	0.220138E+25
385.870	0.244793E+25
429.822	0.270816E+25
476.149	0.297933E+25
524.851	0.326046E+25
575.930	0.355072E+25
629.384	0.384955E+25
685.214	0.415449E+25
743.420	0.446570E+25
804.001	0.478411E+25
866.958	0.510572E+25
932.291	0.543313E+25
1000.00	0.576599E+25


E/N (Td)	Energy mobility *N (1/m/V/s)
1.00000	0.214209E+24
2.18787	0.214336E+24
5.75149	0.213347E+24
11.6908	0.219240E+24
20.0059	0.230924E+24
30.6968	0.258978E+24
43.7634	0.331738E+24
59.2057	0.537064E+24
77.0238	0.677586E+24
97.2176	0.741234E+24
119.787	0.786166E+24
144.732	0.820879E+24
172.054	0.848240E+24
201.750	0.869883E+24
233.823	0.886949E+24
268.271	0.899931E+24
305.095	0.909835E+24
344.295	0.916357E+24
385.870	0.920163E+24
429.822	0.921846E+24
476.149	0.921384E+24
524.851	0.919056E+24
575.930	0.915263E+24
629.384	0.910364E+24
685.214	0.904395E+24
743.420	0.897791E+24
804.001	0.890814E+24
866.958	0.883316E+24
932.291	0.875702E+24
1000.00	0.868128E+24


E/N (Td)	Energy diffusion coef. *N (1/m/s)
1.00000	0.554372E+23
2.18787	0.555602E+23
5.75149	0.543031E+23
11.6908	0.601563E+23
20.0059	0.709521E+23
30.6968	0.975348E+23
43.7634	0.180993E+24
59.2057	0.567097E+24
77.0238	0.102023E+25
97.2176	0.132522E+25
119.787	0.160836E+25
144.732	0.189227E+25
172.054	0.218425E+25
201.750	0.249015E+25
233.823	0.281367E+25
268.271	0.315591E+25
305.095	0.352073E+25
344.295	0.390424E+25
385.870	0.430705E+25
429.822	0.472963E+25
476.149	0.516761E+25
524.851	0.561911E+25
575.930	0.608239E+25
629.384	0.655714E+25
685.214	0.704090E+25
743.420	0.753444E+25
804.001	0.803976E+25
866.958	0.855338E+25
932.291	0.908048E+25
1000.00	0.962189E+25


E/N (Td)	Total collision freq. /N (m3/s)
1.00000	0.163682E-12
2.18787	0.163625E-12
5.75149	0.164296E-12
11.6908	0.161697E-12
20.0059	0.158215E-12
30.6968	0.153288E-12
43.7634	0.148921E-12
59.2057	0.151927E-12
77.0238	0.155789E-12
97.2176	0.158104E-12
119.787	0.160302E-12
144.732	0.162646E-12
172.054	0.165235E-12
201.750	0.168139E-12
233.823	0.171383E-12
268.271	0.174963E-12
305.095	0.178871E-12
344.295	0.183048E-12
385.870	0.187445E-12
429.822	0.192013E-12
476.149	0.196684E-12
524.851	0.201413E-12
575.930	0.206149E-12
629.384	0.210863E-12
685.214	0.215530E-12
743.420	0.220118E-12
804.001	0.224627E-12
866.958	0.229028E-12
932.291	0.233331E-12
1000.00	0.237510E-12


E/N (Td)	Momentum frequency /N (m3/s)
1.00000	0.136106E-12
2.18787	0.136112E-12
5.75149	0.134777E-12
