BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
concat_xsections.dat
--------------------------------------------------
CO
concat_xsections.dat
--------------------------------------------------
H2O
concat_xsections.dat
--------------------------------------------------
N2
concat_xsections.dat
--------------------------------------------------
O2
concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        2000.00
Excitation temperature (K)                 2000.00
Transition energy (eV)                     0.00000
Ionization degree                          0.00000
Gas particle density (1/m3)               0.370000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           200.000
Precision                                 0.100000E-11
Convergence                               0.100000E-05
Maximum # of iterations                    10000.0
Mole fraction CO2                         0.780142E-01
Mole fraction CO                          0.101317E-02
Mole fraction H2O                         0.155015
Mole fraction N2                          0.727457
Mole fraction O2                          0.385005E-01


E/N (Td)      	Electric field / N (Td)
0.100000	0.100000
0.109750	0.109750
0.120450	0.120450
0.132194	0.132194
0.145083	0.145083
0.159228	0.159228
0.174753	0.174753
0.191791	0.191791
0.210490	0.210490
0.231013	0.231013
0.253536	0.253536
0.278256	0.278256
0.305386	0.305386
0.335160	0.335160
0.367838	0.367838
0.403702	0.403702
0.443062	0.443062
0.486260	0.486260
0.533670	0.533670
0.585702	0.585702
0.642807	0.642807
0.705480	0.705480
0.774264	0.774264
0.849753	0.849753
0.932603	0.932603
1.02353	1.02353
1.12332	1.12332
1.23285	1.23285
1.35305	1.35305
1.48497	1.48497
1.62975	1.62975
1.78865	1.78865
1.96304	1.96304
2.15443	2.15443
2.36449	2.36449
2.59502	2.59502
2.84804	2.84804
3.12572	3.12572
3.43047	3.43047
3.76494	3.76494
4.13201	4.13201
4.53488	4.53488
4.97702	4.97702
5.46228	5.46228
5.99484	5.99484
6.57933	6.57933
7.22081	7.22081
7.92483	7.92483
8.69749	8.69749
9.54548	9.54548
10.4762	10.4762
11.4976	11.4976
12.6186	12.6186
13.8489	13.8489
15.1991	15.1991
16.6810	16.6810
18.3074	18.3074
20.0923	20.0923
22.0513	22.0513
24.2013	24.2013
26.5609	26.5609
29.1505	29.1505
31.9927	31.9927
35.1119	35.1119
38.5353	38.5353
42.2924	42.2924
46.4159	46.4159
50.9414	50.9414
55.9081	55.9081
61.3591	61.3591
67.3415	67.3415
73.9072	73.9072
81.1131	81.1131
89.0215	89.0215
97.7010	97.7010
107.227	107.227
117.681	117.681
129.155	129.155
141.747	141.747
155.568	155.568
170.735	170.735
187.382	187.382
205.651	205.651
225.702	225.702
247.708	247.708
271.859	271.859
298.365	298.365
327.455	327.455
359.381	359.381
394.421	394.421
432.876	432.876
475.081	475.081
521.401	521.401
572.237	572.237
628.029	628.029
689.261	689.261
756.464	756.464
830.217	830.217
911.163	911.163
1000.00	1000.00


E/N (Td)      	Grid type
0.100000	0.00000
0.109750	3.00000
0.120450	3.00000
0.132194	3.00000
0.145083	3.00000
0.159228	3.00000
0.174753	3.00000
0.191791	3.00000
0.210490	3.00000
0.231013	3.00000
0.253536	3.00000
0.278256	3.00000
0.305386	3.00000
0.335160	3.00000
0.367838	3.00000
0.403702	3.00000
0.443062	3.00000
0.486260	3.00000
0.533670	3.00000
0.585702	3.00000
0.642807	3.00000
0.705480	3.00000
0.774264	3.00000
0.849753	3.00000
0.932603	3.00000
1.02353	3.00000
1.12332	3.00000
1.23285	3.00000
1.35305	3.00000
1.48497	3.00000
1.62975	3.00000
1.78865	3.00000
1.96304	3.00000
2.15443	3.00000
2.36449	3.00000
2.59502	3.00000
2.84804	3.00000
3.12572	3.00000
3.43047	3.00000
3.76494	3.00000
4.13201	3.00000
4.53488	3.00000
4.97702	3.00000
5.46228	3.00000
5.99484	3.00000
6.57933	3.00000
7.22081	3.00000
7.92483	3.00000
8.69749	3.00000
9.54548	3.00000
10.4762	3.00000
11.4976	3.00000
12.6186	3.00000
13.8489	3.00000
15.1991	3.00000
16.6810	3.00000
18.3074	3.00000
20.0923	3.00000
22.0513	3.00000
24.2013	3.00000
26.5609	3.00000
29.1505	3.00000
31.9927	3.00000
35.1119	3.00000
38.5353	3.00000
42.2924	3.00000
46.4159	3.00000
50.9414	3.00000
55.9081	3.00000
61.3591	3.00000
67.3415	3.00000
73.9072	3.00000
81.1131	3.00000
89.0215	3.00000
97.7010	3.00000
107.227	3.00000
117.681	3.00000
129.155	3.00000
141.747	3.00000
155.568	3.00000
170.735	3.00000
187.382	3.00000
205.651	3.00000
225.702	3.00000
247.708	3.00000
271.859	3.00000
298.365	3.00000
327.455	3.00000
359.381	3.00000
394.421	3.00000
432.876	3.00000
475.081	3.00000
521.401	3.00000
572.237	3.00000
628.029	3.00000
689.261	3.00000
756.464	3.00000
830.217	3.00000
911.163	3.00000
1000.00	3.00000


E/N (Td)      	Maximum energy
0.100000	200.000
0.109750	4.93446
0.120450	4.93446
0.132194	4.93446
0.145083	4.93446
0.159228	4.93446
0.174753	4.93446
0.191791	4.93446
0.210490	4.93446
0.231013	4.93446
0.253536	4.93446
0.278256	4.93446
0.305386	4.93446
0.335160	4.93446
0.367838	4.93446
0.403702	4.93446
0.443062	4.93446
0.486260	4.93446
0.533670	4.93446
0.585702	4.93446
0.642807	4.93446
0.705480	4.93446
0.774264	4.93446
0.849753	4.93446
0.932603	4.93446
1.02353	4.93446
1.12332	4.93446
1.23285	4.93446
1.35305	4.93446
1.48497	4.93446
1.62975	4.93446
1.78865	4.93446
1.96304	4.93446
2.15443	4.93446
2.36449	4.93446
2.59502	4.93446
2.84804	5.83291
3.12572	5.83291
3.43047	5.83291
3.76494	5.83291
4.13201	5.83291
4.53488	5.83291
4.97702	5.83291
5.46228	6.89495
5.99484	6.89495
6.57933	6.89495
7.22081	8.15037
7.92483	8.15037
8.69749	8.54142
9.54548	10.0966
10.4762	10.0966
11.4976	10.0966
12.6186	10.0966
13.8489	11.9350
15.1991	11.9350
16.6810	11.9350
18.3074	14.1080
20.0923	14.1080
22.0513	14.1080
24.2013	14.1080
26.5609	16.6768
29.1505	16.6768
31.9927	16.6768
35.1119	19.7132
38.5353	19.7132
42.2924	19.7132
46.4159	23.3025
50.9414	23.3025
55.9081	27.5453
61.3591	27.5453
67.3415	27.5453
73.9072	32.5606
81.1131	32.5606
89.0215	38.4891
97.7010	38.4891
107.227	38.4891
117.681	45.4971
129.155	45.4971
141.747	53.7809
155.568	53.7809
170.735	63.5731
187.382	63.5731
205.651	63.5731
225.702	75.1482
247.708	75.1482
271.859	88.8308
298.365	88.8308
327.455	105.005
359.381	124.123
394.421	124.123
432.876	146.723
475.081	146.723
521.401	173.438
572.237	205.017
628.029	205.017
689.261	242.345
756.464	286.470
830.217	286.470
911.163	338.629
1000.00	400.285


E/N (Td)	Mean energy (eV)
0.100000	0.258528
0.109750	0.258531
0.120450	0.258534
0.132194	0.258537
0.145083	0.258541
0.159228	0.258547
0.174753	0.258553
0.191791	0.258560
0.210490	0.258569
0.231013	0.258580
0.253536	0.258593
0.278256	0.258609
0.305386	0.258628
0.335160	0.258651
0.367838	0.258678
0.403702	0.258711
0.443062	0.258751
0.486260	0.258799
0.533670	0.258857
0.585702	0.258927
0.642807	0.259011
0.705480	0.259112
0.774264	0.259235
0.849753	0.259382
0.932603	0.259559
1.02353	0.259773
1.12332	0.260031
1.23285	0.260342
1.35305	0.260717
1.48497	0.261171
1.62975	0.261718
1.78865	0.262378
1.96304	0.263177
2.15443	0.264143
2.36449	0.265312
2.59502	0.266728
2.84804	0.268446
3.12572	0.270533
3.43047	0.273072
3.76494	0.276165
4.13201	0.279939
4.53488	0.284551
4.97702	0.290201
5.46228	0.297122
5.99484	0.305612
6.57933	0.316022
7.22081	0.328774
7.92483	0.344376
8.69749	0.363304
9.54548	0.386170
10.4762	0.413497
11.4976	0.445755
12.6186	0.483229
13.8489	0.526127
15.1991	0.574352
16.6810	0.627777
18.3074	0.686363
