Electric field / N (Td),Mobility *N (1/m/V/s)
1.00000E-01,1.10793E+24
1.09750E-01,1.10793E+24
1.20450E-01,1.10793E+24
1.32194E-01,1.10793E+24
1.45083E-01,1.10793E+24
1.59228E-01,1.10793E+24
1.74753E-01,1.10794E+24
1.91791E-01,1.10794E+24
2.10490E-01,1.10794E+24
2.31013E-01,1.10794E+24
2.53536E-01,1.10794E+24
2.78256E-01,1.10794E+24
3.05386E-01,1.10794E+24
3.35160E-01,1.10794E+24
3.67838E-01,1.10794E+24
4.03702E-01,1.10794E+24
4.43062E-01,1.10794E+24
4.86260E-01,1.10794E+24
5.33670E-01,1.10795E+24
5.85702E-01,1.10795E+24
6.42807E-01,1.10795E+24
7.05480E-01,1.10795E+24
7.74264E-01,1.10796E+24
8.49753E-01,1.10796E+24
9.32603E-01,1.10797E+24
1.02353E+00,1.10797E+24
1.12332E+00,1.10797E+24
1.23285E+00,1.10798E+24
1.35305E+00,1.10798E+24
1.48497E+00,1.10798E+24
1.62975E+00,1.10798E+24
1.78865E+00,1.10797E+24
1.96304E+00,1.10795E+24
2.15443E+00,1.10792E+24
2.36449E+00,1.10786E+24
2.59502E+00,1.10778E+24
2.84804E+00,1.10764E+24
3.12572E+00,1.10744E+24
3.43047E+00,1.10714E+24
3.76494E+00,1.10671E+24
4.13201E+00,1.10610E+24
4.53488E+00,1.10524E+24
4.97702E+00,1.10405E+24
5.46228E+00,1.10258E+24
5.99484E+00,1.10042E+24
6.57933E+00,1.09759E+24
7.22081E+00,1.09392E+24
7.92483E+00,1.08919E+24
8.69749E+00,1.08340E+24
9.54548E+00,1.07635E+24
1.04762E+01,1.06799E+24
1.14976E+01,1.05829E+24
1.26186E+01,1.04729E+24
1.38489E+01,1.03523E+24
1.51991E+01,1.02230E+24
1.66810E+01,1.00880E+24
1.83074E+01,9.95156E+23
2.00923E+01,9.81619E+23
2.20513E+01,9.68648E+23
2.42013E+01,9.56597E+23
2.65609E+01,9.45616E+23
2.91505E+01,9.36122E+23
3.19927E+01,9.27986E+23
3.51119E+01,9.21064E+23
3.85353E+01,9.15039E+23
4.22924E+01,9.09713E+23
4.64159E+01,9.04702E+23
5.09414E+01,8.99778E+23
5.59081E+01,8.94603E+23
6.13591E+01,8.89102E+23
6.73415E+01,8.83133E+23
7.39072E+01,8.76654E+23
8.11131E+01,8.69580E+23
8.90215E+01,8.62003E+23
9.77010E+01,8.53856E+23
1.07227E+02,8.45096E+23
1.17681E+02,8.35817E+23
1.29155E+02,8.26013E+23
1.41747E+02,8.15626E+23
1.55568E+02,8.04702E+23
1.70735E+02,7.93306E+23
1.87382E+02,7.81452E+23
2.05651E+02,7.69113E+23
2.25702E+02,7.56472E+23
2.47708E+02,7.43562E+23
2.71859E+02,7.30328E+23
2.98365E+02,7.16827E+23
3.27455E+02,7.03205E+23
3.59381E+02,6.89408E+23
3.94421E+02,6.75562E+23
4.32876E+02,6.61704E+23
4.75081E+02,6.47748E+23
5.21401E+02,6.33807E+23
5.72237E+02,6.19878E+23
6.28029E+02,6.06013E+23
6.89261E+02,5.92234E+23
7.56464E+02,5.78564E+23
8.30217E+02,5.65054E+23
9.11163E+02,5.51732E+23
1.00000E+03,5.38644E+23
