# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.16 of the paper, remote configuration, provided by the authors.
# Time [ns];Voltage [kV];Error on voltage [kV];Current [A];Error on current [A]
-37;-0.0142432;-9.97024E-4;0.297377;0.00297377
-36.6;-0.0142432;-9.97024E-4;0.294878;0.00294878
-36.2000000000001;-0.0141182;-9.88274E-4;0.28988;0.0028988
-35.8;-0.0137434;-9.62038E-4;0.287382;0.00287382
-35.4;-0.0136185;-9.53295E-4;0.307372;0.00307372
-35;-0.0132436;-9.27052E-4;0.299876;0.00299876
-34.6;-0.0129938;-9.09566E-4;0.292379;0.00292379
-34.2;-0.0126189;-8.83323E-4;0.297377;0.00297377
-33.8;-0.0127439;-8.92073E-4;0.302374;0.00302374
-33.4;-0.0123691;-8.65837E-4;0.327362;0.00327362
-33;-0.0127439;-8.92073E-4;0.319866;0.00319866
-32.6;-0.0127439;-8.92073E-4;0.317367;0.00317367
-32.2000000000001;-0.0131187;-9.18309E-4;0.304873;0.00304873
-31.8;-0.0131187;-9.18309E-4;0.31237;0.0031237
-31.4;-0.0136185;-9.53295E-4;0.334859;0.00334859
-31;-0.0132436;-9.27052E-4;0.329861;0.00329861
-30.6;-0.0133686;-9.35802E-4;0.334859;0.00334859
-30.2;-0.0131187;-9.18309E-4;0.317367;0.00317367
-29.8;-0.0129938;-9.09566E-4;0.314868;0.00314868
-29.4;-0.0123691;-8.65837E-4;0.324864;0.00324864
-29;-0.0122441;-8.57087E-4;0.342355;0.00342355
-28.6;-0.0114945;-8.04615E-4;0.35235;0.0035235
-28.2;-0.0112446;-7.87122E-4;0.35235;0.0035235
-27.8;-0.0109947;-7.69629E-4;0.337357;0.00337357
-27.4;-0.0109947;-7.69629E-4;0.344854;0.00344854
-27;-0.0106199;-7.43393E-4;0.337357;0.00337357
-26.6;-0.0107448;-7.52136E-4;0.347353;0.00347353
-26.2;-0.0106199;-7.43393E-4;0.357348;0.00357348
