# Data from [Minesi2022](https://doi.org/10.1088/1361-6595/ac5cd4)
# Data from Fig.3 of the paper, anode configuration, provided by the authors.
# Time [s];Voltage [kV];Current [A];Energy [J]
2.68E-7;0.00524747;0.0799613;-1.228E-10
2.684E-7;0.00629696;0.0799613;-1.228E-10
2.688E-7;0.00629696;0.0824601;-1.228E-10
2.692E-7;0.0055973;0.0849589;-1.228E-10
2.696E-7;0.00664679;0.0849589;-1.228E-10
2.7E-7;0.00524747;0.0799613;-1.228E-10
2.704E-7;0.00384814;0.0824601;-1.228E-10
2.708E-7;0.00384814;0.0849589;-1.228E-10
2.712E-7;0.00349831;0.0824601;-1.228E-10
2.716E-7;0.00384814;0.0824601;-1.228E-10
2.72E-7;0.00349831;0.0874576;-1.228E-10
2.724E-7;0.00384814;0.0824601;-1.228E-10
2.728E-7;0.00279865;0.0824601;-1.228E-10
2.732E-7;0.00349831;0.0824601;-1.228E-10
2.736E-7;0.00419797;0.0799613;-1.228E-10
2.74E-7;0.00489763;0.0824601;-1.228E-10
2.744E-7;0.0045478;0.0824601;-1.228E-10
2.748E-7;0.00524747;0.0824601;-1.228E-10
2.752E-7;0.0055973;0.0799613;-1.228E-10
2.756E-7;0.00594713;0.0849589;-1.228E-10
2.76E-7;0.00524747;0.0849589;-1.228E-10
2.764E-7;0.00629696;0.0824601;-1.228E-10
2.768E-7;0.00594713;0.0849589;-1.228E-10
2.772E-7;0.00629696;0.0874576;-1.228E-10
2.776E-7;0.00629696;0.0874576;-1.228E-10
2.78E-7;0.00664679;0.0849589;-1.228E-10
2.784E-7;0.00664679;0.0899564;-1.228E-10
2.788E-7;0.00734645;0.0874576;-1.228E-10
2.792E-7;0.00804611;0.0899564;-1.228E-10
2.796E-7;0.00804611;0.0874576;-1.228E-10
2.8E-7;0.00874578;0.0874576;-1.228E-10
2.804E-7;0.00944544;0.0849589;-1.228E-10
2.808E-7;0.00874578;0.0824601;-1.228E-10
2.812E-7;0.00839594;0.0774625;-1.228E-10
2.816E-7;0.00874578;0.0824601;-1.228E-10
2.82E-7;0.00909561;0.0774625;-1.228E-10
2.824E-7;0.00874578;0.0799613;-1.228E-10
2.828E-7;0.00804611;0.0799613;-1.228E-10
2.832E-7;0.00734645;0.0849589;-1.228E-10
2.836E-7;0.00804611;0.0849589;-1.228E-10
2.84E-7;0.00769628;0.0849589;-1.228E-10
2.844E-7;0.00769628;0.0849589;-1.228E-10
2.848E-7;0.00594713;0.0849589;-1.228E-10
2.852E-7;0.00629696;0.0849589;-1.228E-10
2.856E-7;0.00524747;0.0849589;-1.228E-10
2.86E-7;0.00629696;0.0824601;-1.228E-10
2.864E-7;0.00629696;0.0824601;-1.228E-10
2.868E-7;0.00594713;0.0849589;-1.228E-10
2.872E-7;0.00664679;0.0824601;-1.228E-10
2.876E-7;0.00734645;0.0824601;-1.228E-10
2.88E-7;0.00699662;0.0849589;-1.228E-10
2.884E-7;0.00769628;0.0824601;-1.228E-10
2.888E-7;0.00769628;0.0824601;-1.228E-10
2.892E-7;0.00839594;0.0799613;-1.228E-10
2.896E-7;0.00874578;0.0849589;-1.228E-10
2.9E-7;0.00909561;0.0824601;-1.228E-10
2.904E-7;0.00979527;0.0849589;-1.228E-10
2.908E-7;0.0101451;0.0849589;-1.228E-10
2.912E-7;0.00944544;0.0824601;-1.228E-10
2.916E-7;0.0101451;0.0849589;-1.228E-10
2.92E-7;0.0104949;0.0899564;-1.228E-10
2.924E-7;0.0122441;0.0874576;-1.228E-10
2.928E-7;0.0125939;0.0874576;-1.228E-10
2.932E-7;0.0118943;0.0874576;-1.228E-10
2.936E-7;0.0129437;0.0849589;-1.228E-10
2.94E-7;0.0132936;0.0849589;-1.228E-10
2.944E-7;0.0146929;0.0874576;-1.228E-10
2.948E-7;0.0143431;0.0874576;-1.228E-10
2.952E-7;0.0139932;0.0799613;-1.228E-10
2.956E-7;0.0150427;0.0774625;-1.228E-10
2.96E-7;0.0146929;0.0799613;-1.228E-10
2.964E-7;0.0143431;0.0799613;-1.228E-10
2.968E-7;0.0153926;0.0799613;-1.228E-10
2.972E-7;0.0143431;0.0799613;-1.228E-10
