# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load A, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional current I/I_ch [-]
8.86380e-2, 3.98990e-3
1.70417e+0, -7.12628e-4
1.95878e+0, 6.57620e-2
2.06309e+0, 1.54018e-1
2.15012e+0, 2.48985e-1
2.21361e+0, 3.38056e-1
2.28086e+0, 4.35842e-1
2.41964e+0, 4.84972e-1
2.53785e+0, 3.61129e-1
2.59179e+0, 2.51616e-1
2.63465e+0, 1.52578e-1
2.66889e+0, 6.49206e-2
2.71175e+0, -3.48203e-2
2.76321e+0, -1.44790e-1
2.86667e+0, -2.48765e-1
3.03125e+0, -2.39539e-1
3.16156e+0, -1.47921e-1
3.31785e+0, -5.75643e-2
3.47389e+0, -2.01703e-2
3.66755e+0, 4.58283e-3
4.80071e+0, 9.74074e-3
4.99815e+0, 9.58548e-4
5.14518e+0, -4.23032e-2
5.24863e+0, -1.46936e-1
5.33482e+0, -2.37718e-1
5.40799e+0, -3.36015e-1
5.56786e+0, -4.12587e-1
5.70028e+0, -3.33090e-1
5.75924e+0, -2.19744e-1
5.82021e+0, -1.41726e-1
5.90601e+0, 6.53801e-2
6.03827e+0, 2.04812e-1
6.21141e+0, 1.92750e-1
6.36691e+0, 1.07095e-1
6.53982e+0, 4.23687e-2
6.68697e+0, 2.59428e-2
6.83133e+0, 1.36801e-4
7.68398e+0, 2.78063e-4
7.94252e+0, -7.62165e-3
8.13305e+0, -4.45116e-3
8.31509e+0, 3.51643e-2
8.43668e+0, 1.11914e-1
8.51510e+0, 2.19731e-1
8.60212e+0, 3.12588e-1
8.74092e+0, 3.66042e-1
8.86864e+0, 2.66595e-1
8.91332e+0, 1.89361e-1
8.97230e+0, 9.80267e-2
9.01068e+0, 1.39232e-2
9.07671e+0, -6.89334e-2
9.22350e+0, -1.64007e-1
9.41415e+0, -1.35027e-1
9.60502e+0, -5.75690e-2
9.78703e+0, -2.40570e-2
9.97269e+0, 6.57239e-4
1.02532e+1, 5.67389e-3
1.08366e+1, 5.77054e-3
1.11641e+1, 3.37515e-3
1.13547e+1, 1.70087e-2
1.15190e+1, -2.47292e-2
1.16226e+1, -1.12567e-1
1.17001e+1, -1.94079e-1
1.18382e+1, -3.00989e-1
1.19884e+1, -2.75620e-1
1.20725e+1, -1.92387e-1
1.21307e+1, -1.01677e-1
1.21859e+1, -2.29288e-2
1.22729e+1, 8.21316e-2
1.24291e+1, 1.42046e-1
1.26194e+1, 1.04759e-1
1.28097e+1, 4.89878e-2
1.29828e+1, 2.84778e-2
1.32150e+1, 1.19441e-3
1.39106e+1, 1.30964e-3
1.41777e+1, -4.14726e-3
1.43682e+1, -7.95216e-3
1.45587e+1, -2.18714e-2
1.46974e+1, 1.66557e-2
1.47931e+1, 1.01031e-1
1.48974e+1, 2.01223e-1
1.49757e+1, 2.61980e-1
