# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load B, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional current I/I_ch [-]
2.17824e-1, 1.21289e-3
4.08344e-1, 1.24445e-3
5.98865e-1, 1.27601e-3
7.89385e-1, 1.30758e-3
9.79906e-1, 1.33914e-3
1.17043e+0, 1.37071e-3
1.36095e+0, 1.40227e-3
1.55147e+0, 1.43383e-3
1.74203e+0, 9.83587e-3
1.93989e+0, 2.41773e-2
2.11962e+0, 7.39089e-2
2.23618e+0, 1.27767e-1
2.41831e+0, 1.88518e-1
2.60871e+0, 1.60997e-1
2.79884e+0, 7.41845e-2
2.98910e+0, 1.80642e-2
3.20756e+0, 4.50662e-3
3.56059e+0, 1.76669e-3
3.75111e+0, 1.79826e-3
3.94163e+0, 1.82982e-3
4.13215e+0, 1.86138e-3
4.32267e+0, 1.89295e-3
4.51319e+0, 1.92451e-3
4.70372e+0, 2.65362e-3
4.90624e+0, 5.01102e-3
5.08455e+0, -4.40184e-2
5.27477e+0, -1.10951e-1
5.46510e+0, -1.52423e-1
5.65580e+0, -1.13678e-1
5.84664e+0, -4.28458e-2
6.02389e+0, 2.17479e-3
6.22793e+0, 1.33692e-2
6.41840e+0, 2.24015e-3
6.60892e+0, 2.27172e-3
6.79944e+0, 2.30328e-3
6.98996e+0, 2.33484e-3
7.18048e+0, 2.36641e-3
7.37100e+0, 2.39797e-3
7.56152e+0, 2.42954e-3
7.75205e+0, 3.15864e-3
7.94262e+0, 1.60947e-2
8.13331e+0, 5.27470e-2
8.32409e+0, 1.11372e-1
8.53722e+0, 1.29644e-1
8.70510e+0, 1.03065e-1
8.89535e+0, 4.41541e-2
9.08574e+0, 1.52378e-2
9.27621e+0, 3.41115e-3
9.46673e+0, 2.74518e-3
9.65725e+0, 2.77674e-3
9.84777e+0, 2.80830e-3
1.00383e+1, 2.83987e-3
1.02288e+1, 2.87143e-3
1.04193e+1, 2.90300e-3
1.06099e+1, 2.93456e-3
1.08004e+1, 1.57105e-3
1.09909e+1, -7.05911e-4
1.11729e+1, -4.38755e-2
1.13715e+1, -8.97119e-2
1.15620e+1, -9.59582e-2
1.17354e+1, -6.08200e-2
1.18574e+1, -2.38814e-2
1.21340e+1, 4.58215e-3
1.23245e+1, 3.21864e-3
1.25151e+1, 3.25020e-3
1.27056e+1, 3.28177e-3
1.28961e+1, 3.31333e-3
1.30866e+1, 3.34489e-3
1.32771e+1, 3.37646e-3
1.34677e+1, 3.40802e-3
1.36582e+1, 3.43959e-3
1.38487e+1, 3.47115e-3
1.40566e+1, 2.12145e-2
1.42587e+1, 5.60393e-2
1.44720e+1, 8.58957e-2
1.47747e+1, 4.61844e-2
1.49486e+1, 1.45233e-2
