# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load C, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional current I/I_ch [-]
2.13454e-2, 8.94893e-3
4.25213e-1, 4.04566e-3
1.54708e+0, -5.70883e-3
1.70168e+0, 2.44775e-2
1.87220e+0, 7.05433e-2
1.97651e+0, 1.58799e-1
2.03753e+0, 2.47048e-1
2.08121e+0, 3.31457e-1
2.11622e+0, 4.13947e-1
2.15126e+0, 5.02191e-1
2.18634e+0, 6.01945e-1
2.22147e+0, 7.09372e-1
2.25660e+0, 8.20635e-1
2.29174e+0, 9.31898e-1
2.32685e+0, 1.03549e+0
2.36193e+0, 1.13332e+0
2.40568e+0, 1.23308e+0
2.52731e+0, 1.32099e+0
2.63925e+0, 1.17749e+0
2.67349e+0, 1.08926e+0
2.70767e+0, 9.87596e-1
2.74182e+0, 8.76344e-1
2.77597e+0, 7.67011e-1
2.81011e+0, 6.57677e-1
2.84428e+0, 5.52180e-1
2.87849e+0, 4.56274e-1
2.91273e+0, 3.68041e-1
2.95562e+0, 2.75334e-1
3.01579e+0, 1.74317e-1
3.11061e+0, 7.67772e-2
3.24023e+0, 1.46617e-2
3.52168e+0, -4.11518e-4
3.93681e+0, 4.62744e-3
4.63237e+0, -2.27506e-4
4.85977e+0, 3.99978e-2
5.01593e+0, 1.03948e-1
5.12024e+0, 1.89244e-1
5.19854e+0, 2.69631e-1
5.27687e+0, 3.57307e-1
5.41588e+0, 4.57915e-1
5.55434e+0, 4.34850e-1
5.64055e+0, 3.48160e-1
5.71811e+0, 2.63963e-1
5.79565e+0, 1.74778e-1
5.89916e+0, 8.27198e-2
6.05475e+0, 1.75258e-2
6.23169e+0, -6.74252e-3
6.46107e+0, -4.89472e-3
7.68401e+0, 5.24825e-3
7.92540e+0, 3.70180e-2
8.11615e+0, 8.87837e-2
8.30698e+0, 1.56709e-1
8.49747e+0, 1.50114e-1
8.68764e+0, 7.20212e-2
8.87789e+0, 1.34595e-2
9.06833e+0, -4.99375e-3
9.29952e+0, -4.42447e-3
9.53514e+0, 5.84749e-4
9.83808e+0, 5.60512e-3
1.02000e+1, 7.98194e-3
1.06459e+1, 5.73894e-3
1.09564e+1, 2.94984e-2
1.11470e+1, 4.90611e-2
1.13376e+1, 6.65311e-2
1.15799e+1, 2.64628e-2
1.17703e+1, 4.87066e-3
1.19538e+1, -6.81758e-3
1.22726e+1, 1.03827e-3
1.28442e+1, 8.42001e-3
1.31589e+1, 1.18511e-3
1.35831e+1, 5.98479e-3
1.38321e+1, 6.26682e-3
1.39700e+1, 2.44174e-2
1.41606e+1, 3.07268e-2
1.43511e+1, 3.00608e-2
1.45588e+1, 1.49618e-3
1.47493e+1, -5.44765e-3
1.48532e+1, -4.03535e-3
