# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load D, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional current I/I_ch [-]
2.17841e-1, 5.04935e-3
4.08362e-1, 5.08092e-3
5.98882e-1, 5.11248e-3
7.89403e-1, 5.14404e-3
9.79923e-1, 5.17561e-3
1.17044e+0, 5.20717e-3
1.36096e+0, 5.23874e-3
1.55148e+0, 5.27030e-3
1.74204e+0, 1.29748e-2
1.90682e+0, 6.67126e-2
2.02852e+0, 1.69678e-1
2.08260e+0, 2.56263e-1
2.13153e+0, 3.51415e-1
2.16834e+0, 4.49443e-1
2.21212e+0, 5.57063e-1
2.23849e+0, 6.43196e-1
2.27355e+0, 7.36875e-1
2.31741e+0, 8.61408e-1
2.34390e+0, 9.76026e-1
2.37898e+0, 1.07290e+0
2.41577e+0, 1.16633e+0
2.46155e+0, 1.26681e+0
2.56281e+0, 1.33144e+0
2.62985e+0, 1.27181e+0
2.66525e+0, 1.18325e+0
2.70812e+0, 1.08638e+0
2.74233e+0, 9.91438e-1
2.76499e+0, 8.94252e-1
2.79169e+0, 7.98089e-1
2.82761e+0, 6.96045e-1
2.86790e+0, 5.78217e-1
2.91317e+0, 4.63953e-1
2.94739e+0, 3.70925e-1
2.98336e+0, 2.80965e-1
3.03935e+0, 1.86927e-1
3.13665e+0, 9.12139e-2
3.28357e+0, 2.36933e-2
3.47401e+0, 5.58881e-3
3.66453e+0, 5.62037e-3
3.85505e+0, 5.65194e-3
4.04557e+0, 5.68350e-3
4.23609e+0, 5.71507e-3
4.42661e+0, 5.74663e-3
4.61713e+0, 4.73188e-3
4.80769e+0, 1.31339e-2
4.99842e+0, 6.09469e-2
5.14606e+0, 1.53570e-1
5.24173e+0, 2.45277e-1
5.32872e+0, 3.33530e-1
5.46770e+0, 4.25488e-1
5.62351e+0, 4.10418e-1
5.72704e+0, 3.24388e-1
5.81324e+0, 2.34629e-1
5.90810e+0, 1.46023e-1
6.05492e+0, 5.62392e-2
6.24524e+0, 1.12795e-2
6.43574e+0, 6.07949e-3
6.62625e+0, 4.01843e-3
6.81677e+0, 4.05000e-3
7.00730e+0, 6.17418e-3
7.19782e+0, 6.20574e-3
7.38834e+0, 6.23731e-3
7.57886e+0, 5.92010e-3
7.76938e+0, 5.95166e-3
7.95996e+0, 1.95852e-2
8.15067e+0, 6.14691e-2
8.34146e+0, 1.21838e-1
8.53209e+0, 1.46981e-1
8.72242e+0, 1.04811e-1
8.91268e+0, 4.48545e-2
9.10305e+0, 1.27992e-2
9.29354e+0, 6.55295e-3
9.48406e+0, 6.23574e-3
9.67458e+0, 5.91854e-3
9.86510e+0, 6.29887e-3
1.00556e+1, 6.67920e-3
1.02461e+1, 6.01323e-3
1.04367e+1, 6.39356e-3
1.06272e+1, 5.37882e-3
1.08177e+1, 5.41038e-3
1.10083e+1, 1.34636e-2
1.11989e+1, 3.05849e-2
1.13895e+1, 4.87525e-2
1.15800e+1, 4.87841e-2
1.17704e+1, 2.96333e-2
1.19609e+1, 1.22264e-2
1.21513e+1, 6.32887e-3
1.23419e+1, 7.05797e-3
1.25324e+1, 7.08954e-3
1.27229e+1, 7.12110e-3
1.29134e+1, 4.36251e-3
1.31039e+1, 3.69653e-3
1.32945e+1, 6.51825e-3
1.34850e+1, 7.24736e-3
1.36755e+1, 5.88384e-3
1.38660e+1, 4.52033e-3
1.40566e+1, 9.08589e-3
1.42471e+1, 1.62324e-2
1.44376e+1, 1.89146e-2
1.46282e+1, 1.81788e-2
1.48187e+1, 1.14792e-2
1.49572e+1, 7.49126e-3
