# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load A, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional energy E/E_ch [-]
0.039077,0.0000
1.6691,0.0000
1.9594,0.00049407
2.1213,0.0054348
2.2106,0.015316
2.2616,0.028707
2.3001,0.043353
2.3260,0.057471
2.3512,0.070568
2.3701,0.081436
2.4060,0.094368
2.4842,0.13686
2.5288,0.15761
2.5597,0.17256
2.5870,0.19141
2.6242,0.21150
2.7098,0.22452
2.7999,0.21320
2.8377,0.20078
2.8871,0.18649
2.9424,0.17135
3.0194,0.15738
3.1579,0.14345
3.2964,0.14147
3.4350,0.14107
3.5735,0.14107
3.7120,0.14107
3.8506,0.14107
3.9891,0.14107
4.1276,0.14107
4.2662,0.14107
4.4047,0.14107
4.5432,0.14107
4.6818,0.14107
4.8203,0.14107
4.9588,0.14107
5.0974,0.14107
5.2359,0.14168
5.3681,0.14781
5.4668,0.16076
5.5184,0.17642
5.5579,0.19043
5.5948,0.20279
5.6263,0.21240
5.6284,0.22875
5.6720,0.24375
5.7037,0.25826
5.7508,0.27581
5.8026,0.29130
5.9097,0.29433
6.0023,0.27936
6.0583,0.26724
6.1489,0.25541
6.2560,0.24297
6.3945,0.23865
6.5331,0.23748
6.6716,0.23748
6.8101,0.23748
6.9487,0.23748
7.0872,0.23748
7.2257,0.23748
7.3643,0.23748
7.5028,0.23748
7.6413,0.23748
7.7798,0.23748
7.9184,0.23748
8.0569,0.23748
8.1954,0.23748
8.3340,0.23748
8.4725,0.23844
8.6073,0.24668
8.6812,0.25826
8.7298,0.27084
8.7685,0.28392
8.8062,0.29609
8.8377,0.30640
8.8944,0.32381
8.9448,0.33659
9.0518,0.34362
9.1715,0.33313
9.2722,0.32122
9.3919,0.30922
9.5304,0.30522
9.6689,0.30416
9.8075,0.30380
9.9460,0.30380
10.085,0.30380
10.223,0.30380
10.362,0.30380
10.500,0.30380
10.639,0.30380
10.777,0.30380
10.916,0.30380
11.054,0.30380
11.193,0.30380
11.331,0.30380
11.470,0.30380
11.608,0.30395
11.747,0.30760
11.869,0.32002
11.934,0.33247
11.979,0.34504
12.032,0.35463
12.093,0.36952
12.213,0.37655
12.351,0.36850
12.490,0.35685
12.628,0.35168
12.767,0.34991
12.906,0.34930
13.044,0.34894
13.183,0.34894
13.321,0.34894
13.460,0.34894
13.598,0.34894
13.737,0.34894
13.875,0.34894
14.014,0.34894
14.152,0.34894
14.291,0.34894
14.429,0.34894
14.568,0.34935
14.706,0.34950
14.845,0.34975
14.965,0.35347
