# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load B, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional energy E/E_ch [-]
0.039077,0.0000
0.88202,0.0000
2.0208,0.0000
2.1381,0.0024704
2.2260,0.0066326
2.3225,0.020503
2.3834,0.033229
2.4275,0.046418
2.4652,0.058493
2.5030,0.071311
2.5408,0.083943
2.5849,0.097806
2.6353,0.11167
2.6793,0.12491
2.7612,0.13800
2.8808,0.14654
3.0194,0.14882
3.1579,0.14887
3.2964,0.14887
3.4350,0.14887
3.5735,0.14887
3.7120,0.14887
3.8506,0.14887
3.9891,0.14887
4.1276,0.14887
4.2662,0.14887
4.4047,0.14887
4.5432,0.14887
4.6818,0.14887
4.8203,0.14887
4.9588,0.14887
5.0974,0.15003
5.2359,0.15510
5.3492,0.16639
5.4248,0.17930
5.4941,0.19308
5.5507,0.20701
5.6137,0.22020
5.6893,0.23286
5.8026,0.24356
5.9411,0.24782
6.0797,0.24853
6.2182,0.24863
6.3567,0.24865
6.4953,0.24863
6.6338,0.24863
6.7723,0.24863
6.9109,0.24863
7.0494,0.24863
7.1879,0.24863
7.3265,0.24863
7.4650,0.24863
7.6035,0.24863
7.7421,0.24863
7.8806,0.24863
8.0191,0.24883
8.1577,0.25000
8.2962,0.25562
8.4158,0.26695
8.5103,0.28031
8.5984,0.29337
8.7118,0.30588
8.8503,0.31333
8.9889,0.31495
9.1274,0.31495
9.2659,0.31495
9.4045,0.31495
9.5430,0.31495
9.6815,0.31495
9.8201,0.31495
9.9586,0.31495
10.097,0.31495
10.236,0.31495
10.374,0.31495
10.513,0.31495
10.651,0.31495
10.790,0.31495
10.928,0.31493
11.067,0.31556
11.205,0.31697
11.344,0.32214
11.476,0.33245
11.602,0.34477
11.734,0.35467
11.873,0.35897
12.011,0.35953
12.150,0.36004
12.288,0.36009
12.427,0.36009
12.566,0.36009
12.704,0.36009
12.843,0.36009
12.981,0.36009
13.120,0.36009
13.258,0.36009
13.397,0.36009
13.535,0.36009
13.674,0.36009
13.812,0.36009
13.951,0.36009
14.089,0.36029
14.228,0.36125
14.366,0.36516
14.505,0.37291
14.643,0.38177
14.782,0.38719
14.921,0.38846
