# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load A, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional voltage V/V_ch [-]
2.22222e-1, 0.00000e+0
7.46032e-1, 1.20482e-2
1.42857e+0, 1.20482e-2
1.84127e+0, 3.61446e-2
2.04341e+0, 1.77620e-1
2.17472e+0, 3.97609e-1
2.23163e+0, 5.75356e-1
2.29509e+0, 7.98786e-1
2.36075e+0, 1.06042e+0
2.43422e+0, 1.31435e+0
2.49206e+0, 1.53802e+0
2.66441e+0, 1.63042e+0
2.79846e+0, 1.33037e+0
2.86412e+0, 1.10472e+0
2.92977e+0, 8.56928e-1
2.99543e+0, 6.22977e-1
3.07203e+0, 4.20865e-1
3.19240e+0, 2.03526e-1
3.37843e+0, 6.29543e-2
3.52068e+0, 3.87915e-2
3.93651e+0, 1.20482e-2
4.42857e+0, 1.20482e-2
4.88889e+0, 0.00000e+0
5.17304e+0, -7.22062e-2
5.33718e+0, -2.85141e-1
5.40940e+0, -4.99434e-1
5.47631e+0, -7.08744e-1
5.53634e+0, -9.26360e-1
5.61075e+0, -1.11817e+0
5.80952e+0, -1.42169e+0
5.97968e+0, -1.14303e+0
6.04846e+0, -9.28852e-1
6.10536e+0, -7.51935e-1
6.16883e+0, -5.44702e-1
6.26732e+0, -3.21687e-1
6.44240e+0, -1.09961e-1
6.67220e+0, -3.01479e-2
7.07937e+0, 0.00000e+0
7.68254e+0, 0.00000e+0
8.10570e+0, -2.01052e-2
8.34887e+0, 2.21796e-2
8.51058e+0, 2.06987e-1
8.60907e+0, 4.07576e-1
8.66597e+0, 5.80340e-1
8.71849e+0, 7.44797e-1
8.82792e+0, 1.05544e+0
8.98413e+0, 1.18072e+0
9.16715e+0, 8.79769e-1
9.25469e+0, 6.61738e-1
9.34223e+0, 4.62395e-1
9.45166e+0, 2.71358e-1
9.63769e+0, 9.39128e-2
9.84560e+0, 4.08680e-2
1.01587e+1, 1.20482e-2
1.07460e+1, 0.00000e+0
1.12879e+1, 8.89011e-3
1.15393e+1, 7.41349e-3
1.17059e+1, -1.75087e-1
1.18044e+1, -3.79828e-1
1.19028e+1, -6.65138e-1
1.20123e+1, -8.83169e-1
1.21873e+1, -9.33005e-1
1.23405e+1, -7.17050e-1
1.24281e+1, -5.44702e-1
1.25375e+1, -3.47435e-1
1.27126e+1, -1.42278e-1
1.29424e+1, -3.89824e-2
1.31175e+1, -2.76561e-2
1.34921e+1, 0.00000e+0
1.40952e+1, 0.00000e+0
1.45182e+1, -3.59620e-2
1.47589e+1, 1.03721e-3
1.49230e+1, 2.09756e-1
1.49887e+1, 3.29500e-1
