# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load B, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional voltage V/V_ch [-]
3.36340e-1, 5.56773e-3
5.77080e-1, 5.56773e-3
8.17821e-1, 5.56773e-3
1.05856e+0, 5.56773e-3
1.29930e+0, 5.56773e-3
1.54004e+0, 5.56773e-3
1.78078e+0, 2.21796e-2
1.95238e+0, 1.68675e-1
2.09524e+0, 4.33735e-1
2.19048e+0, 7.46988e-1
2.27321e+0, 1.01059e+0
2.31698e+0, 1.19332e+0
2.36294e+0, 1.38934e+0
2.41546e+0, 1.57332e+0
2.52381e+0, 1.80723e+0
2.71092e+0, 1.42312e+0
2.77439e+0, 1.19166e+0
2.82035e+0, 9.79440e-1
2.86412e+0, 7.96710e-1
2.89695e+0, 6.65891e-1
2.98413e+0, 4.45783e-1
3.07937e+0, 2.16867e-1
3.19848e+0, 6.13670e-2
3.40031e+0, 7.41349e-3
3.83802e+0, 5.56773e-3
4.29762e+0, 7.07790e-3
4.77910e+0, -5.75857e-3
4.98413e+0, -1.20482e-1
5.09644e+0, -3.07982e-1
5.17304e+0, -4.90021e-1
5.22775e+0, -6.97669e-1
5.29341e+0, -9.20546e-1
5.35907e+0, -1.14481e+0
5.47619e+0, -1.38554e+0
5.63492e+0, -1.42169e+0
5.73112e+0, -1.18910e+0
5.79678e+0, -9.64844e-1
5.86243e+0, -7.39199e-1
5.91715e+0, -5.26013e-1
5.99375e+0, -3.26670e-1
6.10474e+0, -1.25350e-1
6.26732e+0, -2.40964e-2
6.63937e+0, 5.56773e-3
7.09897e+0, 5.56773e-3
7.55856e+0, 7.07790e-3
7.88684e+0, 4.92189e-2
8.16041e+0, 3.66877e-1
8.23701e+0, 5.48223e-1
8.30267e+0, 7.30954e-1
8.37927e+0, 9.37911e-1
8.57143e+0, 1.20482e+0
8.70755e+0, 1.02305e+0
8.78415e+0, 8.25088e-1
8.84981e+0, 6.39589e-1
8.92641e+0, 4.35401e-1
9.02489e+0, 2.34812e-1
9.33129e+0, 2.21796e-2
9.49543e+0, 5.56773e-3
9.90031e+0, 5.56773e-3
1.03599e+1, 5.56773e-3
1.08414e+1, -9.53400e-3
1.10651e+1, -1.18099e-1
1.11916e+1, -3.36637e-1
1.12900e+1, -5.44702e-1
1.13776e+1, -7.44044e-1
1.15238e+1, -9.87952e-1
1.17168e+1, -8.30011e-1
1.18153e+1, -6.17379e-1
1.19028e+1, -4.20112e-1
1.20123e+1, -2.17309e-1
1.21983e+1, -3.05686e-2
1.23296e+1, -2.73823e-3
1.26907e+1, 5.56773e-3
1.31613e+1, 5.56773e-3
1.36209e+1, 5.56773e-3
1.39491e+1, 4.77447e-2
1.42336e+1, 3.36145e-1
1.43431e+1, 5.35487e-1
1.45182e+1, 7.65185e-1
1.47042e+1, 7.14342e-1
1.48246e+1, 5.10570e-1
1.49449e+1, 2.97660e-1
