# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load C, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional voltage V/V_ch [-]
3.36340e-1, 2.21796e-2
5.71429e-1, 1.20482e-2
8.17821e-1, 2.21796e-2
1.05856e+0, 2.21796e-2
1.29930e+0, 2.21796e-2
1.53968e+0, 1.20482e-2
1.82237e+0, -2.73823e-3
2.06530e+0, 1.03729e-1
2.25132e+0, 2.87970e-1
2.38264e+0, 4.84544e-1
2.56866e+0, 6.41351e-1
2.75469e+0, 5.32996e-1
2.88600e+0, 3.35037e-1
3.07203e+0, 1.27892e-1
3.27338e+0, 3.21468e-2
3.48785e+0, 2.21796e-2
3.83802e+0, 2.21796e-2
4.30856e+0, 2.21796e-2
4.97364e+0, 5.26348e-2
5.21681e+0, 1.46014e-1
5.44661e+0, 2.40626e-1
5.70559e+0, 1.50460e-1
5.87338e+0, 5.54034e-2
6.15789e+0, -1.10442e-2
6.72691e+0, 2.21796e-2
7.09897e+0, 2.21796e-2
7.51479e+0, 2.21796e-2
8.03785e+0, 3.04856e-2
8.28078e+0, 8.40967e-2
8.50450e+0, 8.12442e-2
8.74913e+0, 2.21796e-2
8.98112e+0, -1.01213e-2
9.41270e+0, -1.20482e-2
9.90476e+0, 0.00000e+0
1.03599e+1, 2.21796e-2
1.07648e+1, 2.21796e-2
1.11478e+1, 3.87915e-2
1.13885e+1, 4.55873e-2
1.16657e+1, 1.41475e-3
1.18153e+1, -1.10442e-2
1.22063e+1, 1.20482e-2
1.26349e+1, 1.20482e-2
1.31722e+1, 2.21796e-2
1.35552e+1, 2.21796e-2
1.42336e+1, 2.06695e-2
1.44762e+1, 2.40964e-2
1.48095e+1, 0.00000e+0
