# Data taken from [Pavan2025](https://doi.org/10.1088/1361-6463/ad73e5)
# Data from Fig.8 of the paper, Load D, digitized using WebPlotDigitizer (https://apps.automeris.io/wpd4/)
# Adimensional time t/t_ch [-], Adimensional voltage V/V_ch [-]
3.80111e-1, 5.56773e-3
6.20851e-1, 5.56773e-3
8.61592e-1, 5.56773e-3
1.10233e+0, 5.56773e-3
1.34307e+0, 5.56773e-3
1.58381e+0, 4.05755e-3
1.90476e+0, 3.61446e-2
2.09524e+0, 1.32530e-1
2.26984e+0, 4.09639e-1
2.50301e+0, 6.33800e-1
2.69998e+0, 5.43081e-1
2.79365e+0, 3.73494e-1
2.93651e+0, 1.68675e-1
3.14834e+0, 4.85764e-2
3.40031e+0, 9.25926e-3
3.83802e+0, 5.56773e-3
4.30856e+0, 5.56773e-3
4.77910e+0, -6.99492e-4
5.01984e+0, 2.97305e-2
5.26058e+0, 1.37708e-1
5.50132e+0, 2.16992e-1
5.74206e+0, 1.52810e-1
5.98280e+0, 5.23831e-2
6.20652e+0, 3.72196e-3
6.67220e+0, 5.56773e-3
7.09897e+0, 5.56773e-3
7.56950e+0, 5.56773e-3
8.01587e+0, 2.40964e-2
8.37051e+0, 6.45400e-2
8.60907e+0, 6.74848e-2
8.84981e+0, 3.57712e-2
9.09524e+0, 0.00000e+0
9.50637e+0, 5.56773e-3
9.90031e+0, 5.56773e-3
1.03599e+1, 5.56773e-3
1.08414e+1, -8.02383e-3
1.13229e+1, 2.44449e-2
1.15636e+1, 3.57712e-2
1.17825e+1, 1.66423e-2
1.20476e+1, 1.20482e-2
1.23175e+1, 0.00000e+0
1.26907e+1, 5.56773e-3
1.31613e+1, 5.56773e-3
1.36209e+1, 5.56773e-3
1.40952e+1, 0.00000e+0
1.45619e+1, 7.07790e-3
1.49449e+1, 5.56773e-3
