# Data provided by J.B. Perrin-Terrin, from [PerrinTerrin2025](https://hal.science/hal-05076071v1/document)
# Cable: length=8.0 m, impedance=75 Ohm, Measurment position=3.0 m
# Time [s],Voltage [V],Current [A],Energy [J]
-1.220061E-7,0,1.09375,-4.50455E-5
-1.219061E-7,0,1.09375,-4.50455E-5
-1.218061E-7,0,1.09375,-4.50455E-5
-1.217061E-7,0,0,-4.50455E-5
-1.216061E-7,0,0,-4.50455E-5
-1.215061E-7,0,0,-4.50455E-5
-1.214061E-7,0,0,-4.50455E-5
-1.213061E-7,0,0,-4.50455E-5
-1.212061E-7,0,0,-4.50455E-5
-1.211061E-7,0,0,-4.50455E-5
-1.210061E-7,0,0,-4.50455E-5
-1.209061E-7,0,0,-4.50455E-5
-1.208061E-7,0,0,-4.50455E-5
-1.207061E-7,0,0,-4.50455E-5
-1.206061E-7,0,0,-4.50455E-5
-1.205061E-7,0,0,-4.50455E-5
-1.204061E-7,0,0,-4.50455E-5
-1.203061E-7,0,0,-4.50455E-5
-1.202061E-7,0,0,-4.50455E-5
-1.201061E-7,0,0,-4.50455E-5
-1.200061E-7,0,0,-4.50455E-5
-1.199061E-7,0,0,-4.50455E-5
-1.198061E-7,0,1.09375,-4.50455E-5
-1.197061E-7,0,1.09375,-4.50455E-5
-1.196061E-7,0,0,-4.50455E-5
-1.195061E-7,78.1253,0,-4.50455E-5
-1.194061E-7,78.1253,0,-4.50455E-5
-1.193061E-7,0,0,-4.50455E-5
-1.192061E-7,0,0,-4.50455E-5
-1.191061E-7,0,0,-4.50455E-5
-1.190061E-7,0,0,-4.50455E-5
-1.189061E-7,0,0,-4.50455E-5
-1.188061E-7,0,0,-4.50455E-5
-1.187061E-7,0,0,-4.50455E-5
-1.186061E-7,0,0,-4.50455E-5
-1.185061E-7,0,0,-4.50455E-5
-1.184061E-7,0,0,-4.50455E-5
-1.183061E-7,0,0,-4.50455E-5
-1.182061E-7,0,0,-4.50455E-5
-1.181061E-7,0,0,-4.50455E-5
-1.180061E-7,0,0,-4.50455E-5
-1.179061E-7,0,0,-4.50455E-5
-1.178061E-7,0,0,-4.50455E-5
-1.177061E-7,0,0,-4.50455E-5
-1.176061E-7,0,0,-4.50455E-5
-1.175061E-7,0,0,-4.50455E-5
-1.174061E-7,0,0,-4.50455E-5
-1.173061E-7,0,0,-4.50455E-5
-1.172061E-7,0,0,-4.50455E-5
-1.171061E-7,0,-1.09375,-4.50455E-5
-1.170061E-7,0,-1.09375,-4.50455E-5
-1.169061E-7,0,-1.09375,-4.50455E-5
-1.168061E-7,0,-1.09375,-4.50455E-5
-1.167061E-7,0,-1.09375,-4.50455E-5
-1.166061E-7,0,-1.09375,-4.50455E-5
-1.165061E-7,0,-1.09375,-4.50455E-5
-1.164061E-7,0,-1.09375,-4.50455E-5
-1.163061E-7,0,0,-4.50455E-5
-1.162061E-7,0,0,-4.50455E-5
-1.161061E-7,0,0,-4.50455E-5
-1.160061E-7,0,0,-4.50455E-5
-1.159061E-7,0,0,-4.50455E-5
-1.158061E-7,0,0,-4.50455E-5
-1.157061E-7,0,0,-4.50455E-5
-1.156061E-7,0,0,-4.50455E-5
-1.155061E-7,0,0,-4.50455E-5
-1.154061E-7,0,0,-4.50455E-5
-1.153061E-7,0,0,-4.50455E-5
-1.152061E-7,0,0,-4.50455E-5
-1.151061E-7,0,0,-4.50455E-5
-1.150061E-7,0,0,-4.50455E-5
-1.149061E-7,0,0,-4.50455E-5
-1.148061E-7,0,0,-4.50455E-5
-1.147061E-7,0,0,-4.50455E-5
-1.146061E-7,0,0,-4.50455E-5
-1.145061E-7,0,0,-4.50455E-5
-1.144061E-7,0,0,-4.50455E-5
-1.143061E-7,0,0,-4.50455E-5
-1.142061E-7,0,0,-4.50455E-5
-1.141061E-7,0,0,-4.50455E-5
-1.140061E-7,0,0,-4.50455E-5
-1.139061E-7,78.1253,0,-4.50455E-5
-1.138061E-7,78.1253,0,-4.50455E-5
-1.137061E-7,78.1253,0,-4.50455E-5
-1.136061E-7,78.1253,0,-4.50455E-5
-1.135061E-7,78.1253,0,-4.50455E-5
-1.134061E-7,78.1253,0,-4.50455E-5
-1.133061E-7,0,0,-4.50455E-5
-1.132061E-7,0,0,-4.50455E-5
-1.131061E-7,0,0,-4.50455E-5
-1.130061E-7,78.1253,0,-4.50455E-5
-1.129061E-7,78.1253,0,-4.50455E-5
-1.128061E-7,78.1253,0,-4.50455E-5
-1.127061E-7,78.1253,0,-4.50455E-5
-1.126061E-7,78.1253,0,-4.50455E-5
-1.125061E-7,78.1253,0,-4.50455E-5
-1.124061E-7,78.1253,0,-4.50455E-5
-1.123061E-7,0,0,-4.50455E-5
-1.122061E-7,0,0,-4.50455E-5
-1.121061E-7,0,0,-4.50455E-5
-1.120061E-7,0,0,-4.50455E-5
-1.119061E-7,0,-1.09375,-4.50455E-5
-1.118061E-7,0,-1.09375,-4.50455E-5
-1.117061E-7,0,-1.09375,-4.50455E-5
-1.116061E-7,0,-1.09375,-4.50455E-5
-1.115061E-7,0,-1.09375,-4.50455E-5
-1.114061E-7,0,0,-4.50455E-5
-1.113061E-7,0,0,-4.50455E-5
-1.112061E-7,0,0,-4.50455E-5
-1.111061E-7,0,0,-4.50455E-5
-1.110061E-7,0,0,-4.50455E-5
-1.109061E-7,0,0,-4.50455E-5
-1.108061E-7,0,0,-4.50455E-5
-1.107061E-7,0,0,-4.50455E-5
-1.106061E-7,0,0,-4.50455E-5
-1.105061E-7,0,0,-4.50455E-5
-1.104061E-7,0,0,-4.50455E-5
-1.103061E-7,0,0,-4.50455E-5
-1.102061E-7,0,0,-4.50455E-5
-1.101061E-7,78.1253,0,-4.50455E-5
-1.100061E-7,78.1253,-1.09375,-4.50455E-5
-1.099061E-7,78.1253,-1.09375,-4.50455E-5
-1.098061E-7,78.1253,-1.09375,-4.50455E-5
-1.097061E-7,78.1253,-1.09375,-4.50455E-5
-1.096061E-7,0,-1.09375,-4.50455E-5
-1.095061E-7,0,0,-4.50455E-5
-1.094061E-7,0,0,-4.50455E-5
-1.093061E-7,0,0,-4.50455E-5
-1.092061E-7,0,0,-4.50455E-5
-1.091061E-7,0,0,-4.50455E-5
-1.090061E-7,0,0,-4.50455E-5
-1.089061E-7,0,-1.09375,-4.50455E-5
-1.088061E-7,0,-1.09375,-4.50455E-5
-1.087061E-7,0,-1.09375,-4.50455E-5
-1.086061E-7,0,-1.09375,-4.50455E-5
-1.085061E-7,0,-1.09375,-4.50455E-5
-1.084061E-7,0,0,-4.50455E-5
-1.083061E-7,0,0,-4.50455E-5
-1.082061E-7,0,0,-4.50455E-5
-1.081061E-7,0,0,-4.50455E-5
-1.080061E-7,0,0,-4.50455E-5
-1.079061E-7,0,-1.09375,-4.50455E-5
-1.078061E-7,0,-1.09375,-4.50455E-5
-1.077061E-7,0,-1.09375,-4.50455E-5
-1.076061E-7,78.1253,-1.09375,-4.50455E-5
-1.075061E-7,78.1253,-1.09375,-4.50455E-5
-1.074061E-7,78.1253,-1.09375,-4.50455E-5
-1.073061E-7,78.1253,0,-4.50455E-5
-1.072061E-7,78.1253,0,-4.50455E-5
-1.071061E-7,78.1253,0,-4.50455E-5
-1.070061E-7,78.1253,0,-4.50455E-5
-1.069061E-7,0,-1.09375,-4.50455E-5
-1.068061E-7,0,-1.09375,-4.50455E-5
-1.067061E-7,0,-1.09375,-4.50455E-5
-1.066061E-7,78.1253,-1.09375,-4.50455E-5
-1.065061E-7,78.1253,-1.09375,-4.50455E-5
-1.064061E-7,78.1253,-1.09375,-4.50455E-5
-1.063061E-7,78.1253,0,-4.50455E-5
-1.062061E-7,0,0,-4.50455E-5
-1.061061E-7,0,0,-4.50455E-5
-1.060061E-7,0,-1.09375,-4.50455E-5
-1.059061E-7,0,-1.09375,-4.50455E-5
-1.058061E-7,0,-1.09375,-4.50455E-5
-1.057061E-7,0,-1.09375,-4.50455E-5
-1.056061E-7,0,-1.09375,-4.50455E-5
-1.055061E-7,0,0,-4.50455E-5
-1.054061E-7,0,0,-4.50455E-5
-1.053061E-7,0,0,-4.50455E-5
-1.052061E-7,0,0,-4.50455E-5
-1.051061E-7,0,-1.09375,-4.50455E-5
-1.050061E-7,0,-1.09375,-4.50455E-5
-1.049061E-7,0,-1.09375,-4.50455E-5
-1.048061E-7,0,-1.09375,-4.50455E-5
-1.047061E-7,0,-1.09375,-4.50455E-5
-1.046061E-7,0,-1.09375,-4.50455E-5
-1.045061E-7,0,0,-4.50455E-5
-1.044061E-7,0,0,-4.50455E-5
-1.043061E-7,0,0,-4.50455E-5
-1.042061E-7,78.1253,0,-4.50455E-5
-1.041061E-7,78.1253,0,-4.50455E-5
-1.040061E-7,78.1253,0,-4.50455E-5
-1.039061E-7,78.1253,0,-4.50455E-5
-1.038061E-7,78.1253,-1.09375,-4.50455E-5
-1.037061E-7,78.1253,-1.09375,-4.50455E-5
-1.036061E-7,78.1253,0,-4.50455E-5
-1.035061E-7,78.1253,0,-4.50455E-5
-1.034061E-7,78.1253,0,-4.50455E-5
-1.033061E-7,78.1253,0,-4.50455E-5
-1.032061E-7,0,-1.09375,-4.50455E-5
-1.031061E-7,0,-1.09375,-4.50455E-5
-1.030061E-7,78.1253,-1.09375,-4.50455E-5
-1.029061E-7,78.1253,-1.09375,-4.50455E-5
-1.028061E-7,78.1253,-1.09375,-4.50455E-5
-1.027061E-7,78.1253,-1.09375,-4.50455E-5
-1.026061E-7,78.1253,-1.09375,-4.50455E-5
-1.025061E-7,78.1253,-1.09375,-4.50455E-5
-1.024061E-7,78.1253,-1.09375,-4.50455E-5
-1.023061E-7,78.1253,-1.09375,-4.50455E-5
