E/N (Td), Momentum frequency /N (m3/s), Mean energy (eV)
1.00000, 0.136106E-12, 0.387925
2.18787, 0.136112E-12, 0.388556
5.75149, 0.134777E-12, 0.381273
11.6908, 0.136389E-12, 0.411245
20.0059, 0.137573E-12, 0.460538
30.6968, 0.140580E-12, 0.564262
43.7634, 0.150957E-12, 0.817596
59.2057, 0.162406E-12, 1.58114
77.0238, 0.167605E-12, 2.26087
97.2176, 0.172221E-12, 2.68967
119.787, 0.177022E-12, 3.08269
144.732, 0.182309E-12, 3.47798
172.054, 0.187853E-12, 3.88873
201.750, 0.193810E-12, 4.32556
233.823, 0.200077E-12, 4.79411
268.271, 0.206574E-12, 5.29829
305.095, 0.213021E-12, 5.84300
344.295, 0.219593E-12, 6.42815
385.870, 0.226212E-12, 7.05507
429.822, 0.232659E-12, 7.72530
476.149, 0.239050E-12, 8.43675
524.851, 0.245314E-12, 9.18939
575.930, 0.251470E-12, 9.98086
629.384, 0.257476E-12, 10.8109
685.214, 0.263416E-12, 11.6788
743.420, 0.269275E-12, 12.5821
804.001, 0.274961E-12, 13.5227
866.958, 0.280643E-12, 14.4977
932.291, 0.286177E-12, 15.5106
1000.00, 0.291630E-12, 16.5582
