BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
CO2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
CO
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
H2O
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
N2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat
--------------------------------------------------
O2
C:\Users\pierr\Documents\GitHub\pyresiflex\src\pyresiflex\data\cross_sections\Bolsig\concat_xsections.dat



Angular frequency / N (m3.rad/s)           0.00000
Cosine of E-B field angle                  0.00000
Gas temperature (K)                        3000.00
Excitation temperature (K)                 3000.00
Transition energy (eV)                     0.00000
Ionization degree                         0.100000E-02
Gas particle density (1/m3)               0.250000E+25
Ion charge parameter                       1.00000
Ion/neutral mass ratio                     1.00000
Coulomb collision model                    1.00000
Energy sharing                             1.00000
Growth model                               1.00000
Maxwellian mean energy (eV)                0.00000
# of grid points                           100.000
Precision                                 0.100000E-09
Convergence                               0.100000E-04
Maximum # of iterations                    2000.00
Mole fraction CO2                         0.280000E-01
Mole fraction CO                          0.440000E-01
Mole fraction H2O                         0.940000E-01
Mole fraction N2                          0.660000
Mole fraction O2                          0.430000E-01


E/N (Td)      	Electric field / N (Td)
1.00000	1.00000
2.18787	2.18787
5.75149	5.75149
11.6908	11.6908
20.0059	20.0059
30.6968	30.6968
43.7634	43.7634
59.2057	59.2057
77.0238	77.0238
97.2176	97.2176
119.787	119.787
144.732	144.732
172.054	172.054
201.750	201.750
233.823	233.823
268.271	268.271
305.095	305.095
344.295	344.295
385.870	385.870
429.822	429.822
476.149	476.149
524.851	524.851
575.930	575.930
629.384	629.384
685.214	685.214
743.420	743.420
804.001	804.001
866.958	866.958
932.291	932.291
1000.00	1000.00


E/N (Td)      	Grid type
1.00000	0.00000
2.18787	3.00000
5.75149	3.00000
11.6908	3.00000
20.0059	3.00000
30.6968	3.00000
43.7634	3.00000
59.2057	3.00000
77.0238	3.00000
97.2176	3.00000
119.787	3.00000
144.732	3.00000
172.054	3.00000
201.750	3.00000
233.823	3.00000
268.271	3.00000
305.095	3.00000
344.295	3.00000
385.870	3.00000
429.822	3.00000
476.149	3.00000
524.851	3.00000
575.930	3.00000
629.384	3.00000
685.214	3.00000
743.420	3.00000
804.001	3.00000
866.958	3.00000
932.291	3.00000
1000.00	3.00000


E/N (Td)      	Maximum energy
1.00000	-1.00000
2.18787	6.21116
5.75149	6.21116
11.6908	7.23168
20.0059	11.4140
30.6968	15.4728
43.7634	20.9749
59.2057	24.4211
77.0238	33.1052
97.2176	38.5444
119.787	38.5444
144.732	44.8773
172.054	52.2506
201.750	60.8354
233.823	70.8307
268.271	82.4682
305.095	96.0178
344.295	96.0178
385.870	111.794
429.822	130.161
476.149	151.547
524.851	151.547
575.930	176.446
629.384	205.436
685.214	239.189
743.420	239.189
804.001	278.488
866.958	324.244
932.291	324.244
1000.00	377.517


E/N (Td)	Mean energy (eV)
1.00000	0.389636
2.18787	0.396824
5.75149	0.452335
11.6908	0.636240
20.0059	0.996275
30.6968	1.73424
43.7634	2.48690
59.2057	3.06427
77.0238	3.56353
97.2176	4.02455
119.787	4.46661
144.732	4.90677
172.054	5.35236
201.750	5.81619
233.823	6.30529
268.271	6.82399
305.095	7.37872
344.295	7.97016
385.870	8.60043
429.822	9.26905
476.149	9.97365
524.851	10.7127
575.930	11.4871
629.384	12.2962
685.214	13.1391
743.420	14.0154
804.001	14.9255
866.958	15.8693
932.291	16.8459
1000.00	17.8620


E/N (Td)	Mobility *N (1/m/V/s)
1.00000	0.940733E+24
2.18787	0.945370E+24
5.75149	0.975010E+24
11.6908	0.102195E+25
20.0059	0.103200E+25
30.6968	0.102923E+25
43.7634	0.102091E+25
59.2057	0.100488E+25
77.0238	0.984499E+24
97.2176	0.961535E+24
119.787	0.936835E+24
144.732	0.912038E+24
172.054	0.886682E+24
201.750	0.862173E+24
233.823	0.838582E+24
268.271	0.815901E+24
305.095	0.794318E+24
344.295	0.773626E+24
385.870	0.754319E+24
429.822	0.736062E+24
476.149	0.718620E+24
524.851	0.701904E+24
575.930	0.686180E+24
629.384	0.671299E+24
685.214	0.657207E+24
743.420	0.643802E+24
804.001	0.631151E+24
866.958	0.619084E+24
932.291	0.607495E+24
1000.00	0.596702E+24


E/N (Td)	Diffusion coefficient *N (1/m/s)
1.00000	0.244613E+24
2.18787	0.250355E+24
5.75149	0.294366E+24
11.6908	0.434116E+24
20.0059	0.686741E+24
30.6968	0.119359E+25
43.7634	0.170383E+25
59.2057	0.207877E+25
77.0238	0.238537E+25
97.2176	0.265100E+25
119.787	0.288748E+25
144.732	0.310845E+25
172.054	0.331309E+25
201.750	0.351398E+25
233.823	0.371379E+25
268.271	0.391280E+25
305.095	0.411729E+25
344.295	0.432667E+25
385.870	0.454440E+25
429.822	0.477054E+25
476.149	0.500041E+25
524.851	0.523480E+25
575.930	0.547453E+25
629.384	0.572120E+25
685.214	0.597300E+25
743.420	0.623043E+25
804.001	0.649340E+25
866.958	0.676005E+25
932.291	0.703018E+25
1000.00	0.731169E+25


E/N (Td)	Energy mobility *N (1/m/V/s)
1.00000	0.174393E+25
2.18787	0.174821E+25
5.75149	0.177026E+25
11.6908	0.177198E+25
20.0059	0.173822E+25
30.6968	0.172259E+25
43.7634	0.167821E+25
59.2057	0.162520E+25
77.0238	0.157145E+25
97.2176	0.151826E+25
119.787	0.146622E+25
144.732	0.141650E+25
172.054	0.136904E+25
201.750	0.132454E+25
233.823	0.128342E+25
268.271	0.124570E+25
305.095	0.121077E+25
344.295	0.117833E+25
385.870	0.114878E+25
429.822	0.112128E+25
476.149	0.109552E+25
524.851	0.107125E+25
575.930	0.104872E+25
629.384	0.102752E+25
685.214	0.100757E+25
743.420	0.988857E+24
804.001	0.971331E+24
866.958	0.954810E+24
932.291	0.939295E+24
1000.00	0.924826E+24


E/N (Td)	Energy diffusion coef. *N (1/m/s)
1.00000	0.453119E+24
2.18787	0.462609E+24
5.75149	0.533801E+24
11.6908	0.750222E+24
20.0059	0.116001E+25
30.6968	0.201091E+25
43.7634	0.272804E+25
59.2057	0.317481E+25
77.0238	0.350815E+25
97.2176	0.378405E+25
119.787	0.402759E+25
144.732	0.425867E+25
172.054	0.448458E+25
201.750	0.471807E+25
233.823	0.496630E+25
268.271	0.523310E+25
305.095	0.552006E+25
344.295	0.582603E+25
385.870	0.615398E+25
429.822	0.649952E+25
476.149	0.685860E+25
524.851	0.722903E+25
575.930	0.761329E+25
629.384	0.800889E+25
685.214	0.841534E+25
743.420	0.883419E+25
804.001	0.926683E+25
866.958	0.971276E+25
932.291	0.101746E+26
1000.00	0.106558E+26


E/N (Td)	Total collision freq. /N (m3/s)
1.00000	0.163529E-12
2.18787	0.162898E-12
5.75149	0.158735E-12
11.6908	0.151156E-12
20.0059	0.148668E-12
30.6968	0.152665E-12
43.7634	0.156715E-12
59.2057	0.159619E-12
77.0238	0.162250E-12
97.2176	0.164910E-12
119.787	0.167726E-12
144.732	0.170786E-12
172.054	0.174097E-12
201.750	0.177685E-12
233.823	0.181523E-12
268.271	0.185570E-12
305.095	0.189789E-12
344.295	0.194124E-12
385.870	0.198540E-12
429.822	0.202992E-12
476.149	0.207439E-12
524.851	0.211847E-12
575.930	0.216211E-12
629.384	0.220514E-12
685.214	0.224741E-12
743.420	0.228880E-12
804.001	0.232930E-12
866.958	0.236879E-12
932.291	0.240716E-12
1000.00	0.244471E-12


E/N (Td)	Momentum frequency /N (m3/s)
1.00000	0.136246E-12
2.18787	0.136165E-12
