E/N (Td), Momentum frequency /N (m3/s), Mean energy (eV)
1.00000, 0.137852E-12, 0.391973
2.18787, 0.137916E-12, 0.408006
5.75149, 0.139184E-12, 0.519935
11.6908, 0.147047E-12, 0.789813
20.0059, 0.158709E-12, 1.17601
30.6968, 0.166055E-12, 1.83663
43.7634, 0.169771E-12, 2.61205
59.2057, 0.173181E-12, 3.25919
77.0238, 0.177200E-12, 3.77681
97.2176, 0.181714E-12, 4.22330
119.787, 0.186612E-12, 4.63894
144.732, 0.191871E-12, 5.04659
172.054, 0.197413E-12, 5.46635
201.750, 0.203038E-12, 5.90797
233.823, 0.208833E-12, 6.37846
268.271, 0.214670E-12, 6.88465
305.095, 0.220610E-12, 7.42819
344.295, 0.226391E-12, 8.01422
385.870, 0.232321E-12, 8.63825
429.822, 0.238146E-12, 9.30276
476.149, 0.243976E-12, 10.0042
524.851, 0.249796E-12, 10.7415
575.930, 0.255575E-12, 11.5141
629.384, 0.261304E-12, 12.3209
685.214, 0.266962E-12, 13.1624
743.420, 0.272610E-12, 14.0368
804.001, 0.278127E-12, 14.9458
866.958, 0.283594E-12, 15.8884
932.291, 0.288974E-12, 16.8658
1000.00, 0.294305E-12, 17.8793
